Nov27_1212_comp
----------------------------------------------------------------------------------------------------
[Twitter]   init=ones (20)   seed=42   batch_size=64 spectral_dim=300
File1: twitter_10000bins_modiffT  File1: twitter_10000bins_modiffT
----------------------------------------------------------------------------------------------------
lr=0.002 schedule=True ema=0.999 epochs=200 reduce=False eps=1e-05
(ScoreNetworkX)+(ScoreNetworkA_eigen=GCN,4)   : depth=2 adim=32 nhid=32 layers=6 linears=2 c=(2 8 4)
(x:VP)=(0.10, 20.00) N=1000 (adj:VP)=(0.10, 20.00) N=1000
----------------------------------------------------------------------------------------------------
130 | 6.24s | test x: 2.828e+01 | test adj: 1.331e+02 | train x: 1.354e+01 | train adj: 1.390e+02 | 
131 | 6.30s | test x: 2.470e+01 | test adj: 1.332e+02 | train x: 1.464e+01 | train adj: 1.394e+02 | 
132 | 6.24s | test x: 2.404e+01 | test adj: 1.317e+02 | train x: 1.344e+01 | train adj: 1.396e+02 | 
133 | 6.24s | test x: 2.830e+01 | test adj: 1.326e+02 | train x: 1.333e+01 | train adj: 1.397e+02 | 
134 | 6.26s | test x: 1.886e+01 | test adj: 1.293e+02 | train x: 1.295e+01 | train adj: 1.388e+02 | 
135 | 6.22s | test x: 3.339e+01 | test adj: 1.336e+02 | train x: 1.402e+01 | train adj: 1.392e+02 | 
136 | 6.25s | test x: 2.160e+01 | test adj: 1.308e+02 | train x: 1.264e+01 | train adj: 1.391e+02 | 
137 | 6.27s | test x: 2.112e+01 | test adj: 1.325e+02 | train x: 1.487e+01 | train adj: 1.388e+02 | 
138 | 6.29s | test x: 3.019e+01 | test adj: 1.344e+02 | train x: 1.382e+01 | train adj: 1.390e+02 | 
139 | 6.29s | test x: 2.069e+01 | test adj: 1.304e+02 | train x: 1.501e+01 | train adj: 1.387e+02 | 
140 | 6.23s | test x: 2.314e+01 | test adj: 1.301e+02 | train x: 1.371e+01 | train adj: 1.388e+02 | 
141 | 6.29s | test x: 1.781e+01 | test adj: 1.337e+02 | train x: 1.184e+01 | train adj: 1.388e+02 | 
142 | 6.25s | test x: 3.740e+01 | test adj: 1.317e+02 | train x: 1.394e+01 | train adj: 1.391e+02 | 
143 | 6.11s | test x: 2.417e+01 | test adj: 1.326e+02 | train x: 1.340e+01 | train adj: 1.394e+02 | 
144 | 6.18s | test x: 2.600e+01 | test adj: 1.324e+02 | train x: 1.496e+01 | train adj: 1.391e+02 | 
145 | 6.12s | test x: 1.593e+01 | test adj: 1.302e+02 | train x: 1.226e+01 | train adj: 1.384e+02 | 
146 | 6.22s | test x: 2.257e+01 | test adj: 1.302e+02 | train x: 1.300e+01 | train adj: 1.390e+02 | 
147 | 6.29s | test x: 2.989e+01 | test adj: 1.311e+02 | train x: 1.424e+01 | train adj: 1.384e+02 | 
148 | 6.33s | test x: 2.366e+01 | test adj: 1.314e+02 | train x: 1.397e+01 | train adj: 1.395e+02 | 
149 | 6.32s | test x: 2.718e+01 | test adj: 1.316e+02 | train x: 1.369e+01 | train adj: 1.396e+02 | 
150 | 6.22s | test x: 3.087e+01 | test adj: 1.330e+02 | train x: 1.321e+01 | train adj: 1.401e+02 | 
151 | 6.11s | test x: 1.886e+01 | test adj: 1.331e+02 | train x: 1.353e+01 | train adj: 1.398e+02 | 
152 | 6.32s | test x: 1.708e+01 | test adj: 1.300e+02 | train x: 1.241e+01 | train adj: 1.391e+02 | 
153 | 6.32s | test x: 1.691e+01 | test adj: 1.324e+02 | train x: 1.346e+01 | train adj: 1.398e+02 | 
